Element.Name,Category.Name,ElementType.Name,ElementType.FamilyName
573298,Walls,Basic Wall,STB 30.0 Rot,[,BoundingBox(MinPoint = Point(X = -12752.903, Y = 31855.281, Z = 94.172), MaxPoint = Point(X = -4517.903, Y = 32155.281, Z = 3500.000))
573299,Walls,Basic Wall,STB 30.0,[,BoundingBox(MinPoint = Point(X = 4958.998, Y = 31855.281, Z = 94.172), MaxPoint = Point(X = 5258.998, Y = 40720.281, Z = 3500.000))
573316,Walls,Basic Wall,STB 30.0 Rot,M,BoundingBox(MinPoint = Point(X = -12752.903, Y = 16555.281, Z = 94.172), MaxPoint = Point(X = -4517.903, Y = 16855.281, Z = 3500.000))
573317,Walls,Basic Wall,STB 20.0,a,BoundingBox(MinPoint = Point(X = -4517.903, Y = -12848.765, Z = 94.172), MaxPoint = Point(X = -4317.903, Y = -4444.719, Z = 10600.000))
573318,Walls,Basic Wall,STB 20.0,t,BoundingBox(MinPoint = Point(X = -1617.903, Y = -12748.765, Z = 94.172), MaxPoint = Point(X = -1417.903, Y = -4502.219, Z = 10600.000))
573319,Walls,Basic Wall,STB 20.0,e,BoundingBox(MinPoint = Point(X = 4271.068, Y = -12748.765, Z = 94.172), MaxPoint = Point(X = 4471.068, Y = -4589.719, Z = 10600.000))
573320,Walls,Basic Wall,STB 20.0,r,BoundingBox(MinPoint = Point(X = 9271.068, Y = -12848.765, Z = 94.172), MaxPoint = Point(X = 9471.068, Y = -4502.219, Z = 10600.000))
573321,Walls,Basic Wall,STB 30.0,i,BoundingBox(MinPoint = Point(X = 50132.156, Y = -12844.719, Z = 94.172), MaxPoint = Point(X = 53082.097, Y = -12544.719, Z = 3800.000))
573322,Walls,Basic Wall,STB 30.0,a,BoundingBox(MinPoint = Point(X = 52782.097, Y = -12694.719, Z = 94.172), MaxPoint = Point(X = 53082.097, Y = -4502.219, Z = 3800.000))
573323,Walls,Basic Wall,STB 20.0,l,BoundingBox(MinPoint = Point(X = 3371.068, Y = 9453.842, Z = 94.172), MaxPoint = Point(X = 7271.068, Y = 9653.842, Z = 7300.000))
573324,Walls,Basic Wall,STB 20.0,],BoundingBox(MinPoint = Point(X = 3371.068, Y = 3653.842, Z = 94.172), MaxPoint = Point(X = 7271.068, Y = 3853.842, Z = 7300.000))
573325,Walls,Basic Wall,STB 20.0,,,BoundingBox(MinPoint = Point(X = 21005.589, Y = 31855.281, Z = 94.172), MaxPoint = Point(X = 21205.589, Y = 40855.281, Z = 3800.000))
573326,Walls,Basic Wall,STB 20.0,[,BoundingBox(MinPoint = Point(X = 23905.589, Y = 31855.281, Z = 94.172), MaxPoint = Point(X = 24105.589, Y = 40855.281, Z = 3800.000))
573378,Walls,Basic Wall,STB 20.0,M,BoundingBox(MinPoint = Point(X = 21005.589, Y = 32455.281, Z = 3800.000), MaxPoint = Point(X = 21205.589, Y = 40855.281, Z = 10600.000))
573379,Walls,Basic Wall,STB 20.0,a,BoundingBox(MinPoint = Point(X = 23905.589, Y = 31855.281, Z = 3800.000), MaxPoint = Point(X = 24105.589, Y = 40855.281, Z = 10600.000))
573380,Walls,Basic Wall,STB 20.0,t,BoundingBox(MinPoint = Point(X = 9008.998, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = 9208.998, Y = 40720.281, Z = 7000.000))
573381,Walls,Basic Wall,STB 20.0,e,BoundingBox(MinPoint = Point(X = -991.002, Y = 32455.281, Z = 3800.000), MaxPoint = Point(X = 21105.589, Y = 32655.281, Z = 7000.000))
573382,Walls,Basic Wall,STB 20.0,r,BoundingBox(MinPoint = Point(X = -991.002, Y = 32555.281, Z = 3800.000), MaxPoint = Point(X = -791.002, Y = 38539.858, Z = 7000.000))
573383,Walls,Basic Wall,MW 11.5,i,BoundingBox(MinPoint = Point(X = -12602.903, Y = 28797.781, Z = 3800.000), MaxPoint = Point(X = -4460.344, Y = 28912.781, Z = 7000.000))
573384,Walls,Basic Wall,STB 30.0,a,BoundingBox(MinPoint = Point(X = -12917.844, Y = 32005.281, Z = 3228.000), MaxPoint = Point(X = -12617.844, Y = 41020.281, Z = 7520.000))
573385,Walls,Basic Wall,STB 30.0,l,BoundingBox(MinPoint = Point(X = -12767.844, Y = 40720.281, Z = 3228.000), MaxPoint = Point(X = -4041.002, Y = 41020.281, Z = 7550.000))
573386,Walls,Basic Wall,STB 20.0,],BoundingBox(MinPoint = Point(X = -4848.043, Y = 32455.281, Z = 3800.000), MaxPoint = Point(X = -4648.043, Y = 38539.858, Z = 7000.000))
573387,Walls,Basic Wall,STB 30.0,,,BoundingBox(MinPoint = Point(X = 52782.097, Y = -12844.719, Z = 3800.000), MaxPoint = Point(X = 53082.097, Y = -4502.219, Z = 10900.000))
573574,Walls,Basic Wall,MW 17.5,[,BoundingBox(MinPoint = Point(X = -1517.903, Y = -4677.219, Z = 94.172), MaxPoint = Point(X = 9371.068, Y = -4502.219, Z = 3500.000))
573575,Walls,Basic Wall,MW 17.5,M,BoundingBox(MinPoint = Point(X = -1517.903, Y = -6932.219, Z = 94.172), MaxPoint = Point(X = 4371.068, Y = -6757.219, Z = 3500.000))
573576,Walls,Basic Wall,MW 17.5,a,BoundingBox(MinPoint = Point(X = 1194.597, Y = -12748.765, Z = 94.172), MaxPoint = Point(X = 1369.597, Y = -4589.719, Z = 3500.000))
573581,Walls,Basic Wall,MW 17.5,t,BoundingBox(MinPoint = Point(X = 4371.068, Y = -6932.219, Z = 94.172), MaxPoint = Point(X = 5971.068, Y = -6757.219, Z = 3500.000))
573582,Walls,Basic Wall,MW 17.5,e,BoundingBox(MinPoint = Point(X = 5971.068, Y = -6932.219, Z = 94.172), MaxPoint = Point(X = 6146.068, Y = -4589.719, Z = 3500.000))
573585,Walls,Basic Wall,MW 17.5,r,BoundingBox(MinPoint = Point(X = 7496.068, Y = -6932.219, Z = 94.172), MaxPoint = Point(X = 7671.068, Y = -4589.719, Z = 3500.000))
